Shop Number,Item Code,Item Button,Act Flag,Shop Name,Menu Item Name,Price
803217,V10052400014,18,Y,สกายลักค์,เมนูพิเศษ,10
803217,V251117002,100,Y,สกายลักค์,Delivery,10
803218,V21092100001,1,Y,ลูกชิ้นทิพย์,ลูกชิิ้นหมู ไม้เล็ก 10 ไม้,100
803218,V21092100002,2,Y,ลูกชิ้นทิพย์,ลูกชิ้นหมู ไม้ใหญ่ 5 ไม้,100
803218,V21092100004,3,Y,ลูกชิ้นทิพย์,ลูกชิ้นเอ็นหมู ไม้เล็ก 10 ไม้,100
803218,V21092100003,4,Y,ลูกชิ้นทิพย์,ลูกชิ้นเอ็นหมู ไม้ใหญ่ 5 ไม้,100
803218,V21092100005,5,Y,ลูกชิ้นทิพย์,ไส้กรอกหมูรมควันหนังกรอบ 10 ไม้,100
803218,V21092100006,6,Y,ลูกชิ้นทิพย์,ลูกชิ้นหมูไม้เล็ก,6
803218,V21092100007,7,Y,ลูกชิ้นทิพย์,ไส้กรอกหมูรมควันหนังกรอบ,6
803218,V21092100008,8,Y,ลูกชิ้นทิพย์,ลูกชิ้นหมูไม้ใหญ่,12
803218,V21092100009,9,Y,ลูกชิ้นทิพย์,ลูกชิ้นเอ็นหมูไม้ใหญ่,12
803218,V21092100010,10,Y,ลูกชิ้นทิพย์,น้ำจิ้มสามรส,28
803219,V230728001,1,Y,The Glass Room,น้ำดื่ม,10
803219,V10031200013,2,Y,The Glass Room,น้ำอัดลม,25
803219,V230728002,3,Y,The Glass Room,น้ำอัดลม,30
803219,V241115021,4,Y,The Glass Room,น้ำอัดลม,50
803219,V10033000286,5,Y,The Glass Room,น้ำสมุนไพร,25
803219,V10032500006,6,Y,The Glass Room,น้ำสมุนไพร,30
803219,V241115024,7,Y,The Glass Room,น้ำสมุนไพร(2),35
803219,V241115023,8,Y,The Glass Room,น้ำสมุนไพร(1),40
803219,V240814023,9,Y,The Glass Room,น้ำผลไม้สด,40
803219,V241115026,10,Y,The Glass Room,น้ำผลไม้สด(2),50
803219,V241115025,11,Y,The Glass Room,น้ำผลไม้สด(1),60
803219,V10031900048,12,Y,The Glass Room,ชาเย็น,45
803219,V21101900009,13,Y,The Glass Room,กาแฟ,30
803219,V231128010,14,Y,The Glass Room,เมนูกาแฟ,45
803219,V10033000280,15,Y,The Glass Room,น้ำผลไม้ปั่น,50
803219,V10033100318,16,Y,The Glass Room,น้ำผลไม้ปั่น,55
803219,V241115027,17,Y,The Glass Room,น้ำผลไม้ปั่น(1),60
803219,V241115028,18,Y,The Glass Room,น้ำผลไม้ปั่น(2),65
803219,V230726008,19,Y,The Glass Room,เมนูโซดา,40
803219,V230112002,20,Y,The Glass Room,น้ำแข็งเปล่า,5
803219,V240314003,21,Y,The Glass Room,แก้วเปล่า,3
