เลขร้านค้า,ชื่อร้านค้า,รายการไอเทม,ราคา
803211,ก๋วยเตี๋ยวเป็ด,เป็ดพะโล้,90.00
803211,ก๋วยเตี๋ยวเป็ด,ข้าวเปล่า,10.00
803211,ก๋วยเตี๋ยวเป็ด,พิเศษเพิ่ม,10.00
803211,ก๋วยเตี๋ยวเป็ด,ใส่กล่องกลับบ้านเพิ่ม,7.00
803211,ก๋วยเตี๋ยวเป็ด,บะหมี่เป็ด,70.00
803211,ก๋วยเตี๋ยวเป็ด,กระเพราไข่เยี่ยวม้า/กระเพราเป็ด,100.00
803211,ก๋วยเตี๋ยวเป็ด,เครื่องใน,100.00
803211,ก๋วยเตี๋ยวเป็ด,ไข่ต้ม / ไข่ดาว,10.00
803211,ก๋วยเตี๋ยวเป็ด,Delivery,10.00
803212,ข้าวผัดกระทะเหล็ก,กับข้าวตามสั่ง,50.00
803212,ข้าวผัดกระทะเหล็ก,กับข้าวตามสั่ง,55.00
803212,ข้าวผัดกระทะเหล็ก,กับข้าวตามสั่ง,60.00
803212,ข้าวผัดกระทะเหล็ก,ต้มยำกุ้ง,65.00
803212,ข้าวผัดกระทะเหล็ก,ใส่กล่องกลับบ้านเพิ่ม,7.00
803212,ข้าวผัดกระทะเหล็ก,Promotion A,20.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวผัดปลากระป๋อง,45.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวคั่วพริกเกลือหมูกรอบ / กุ้ง,65.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวตามสั่งอื่นๆ,55.00
803212,ข้าวผัดกระทะเหล็ก,เกี๊ยวซ่า,55.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวไข่เจียว + แกงชุด,89.00
803212,ข้าวผัดกระทะเหล็ก,เมนูอาหารชุด,129.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวเปล่า/ ไข่เจียว/ ไข่ดาว,10.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวผัด,40.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวตามสั่งอื่นๆ,70.00
803212,ข้าวผัดกระทะเหล็ก,ข้าวตามสั่งอื่นๆ,65.00
803212,ข้าวผัดกระทะเหล็ก,เมนูโปรโมชั่น,89.00
803212,ข้าวผัดกระทะเหล็ก,เมนูโปรโมชั่น,99.00
803212,ข้าวผัดกระทะเหล็ก,เมนูโปรโมชั่น,129.00
803216,ขนมหวาน น้ำแข็งใส,น้ำเต้าหู้นมสด,30.00
803216,ขนมหวาน น้ำแข็งใส,เฉาก๊วยน้ำลำไย,35.00
803216,ขนมหวาน น้ำแข็งใส,ลอดช่อง,35.00
803216,ขนมหวาน น้ำแข็งใส,น้ำแข็งใส,35.00
803216,ขนมหวาน น้ำแข็งใส,น้ำแข็งใสพิเศษ,50.00
803216,ขนมหวาน น้ำแข็งใส,ซาลาเปา,60.00
803216,ขนมหวาน น้ำแข็งใส,รังนกในน้ำลำไย,99.00
803216,ขนมหวาน น้ำแข็งใส,เพิ่มเครื่อง,15.00
803216,ขนมหวาน น้ำแข็งใส,เพิ่มพิเศษ,10.00
803216,ขนมหวาน น้ำแข็งใส,ใส่กล่องกลับบ้านเพิ่ม,7.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวาน,40.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวาน,45.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวาน,50.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวานอื่นๆ,52.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวาน,59.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวาน,60.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวาน,69.00
803216,ขนมหวาน น้ำแข็งใส,ขนมหวาน,55.00
803216,ขนมหวาน น้ำแข็งใส,Delivery,10.00
803217,สกายลักค์,มันฝรั่งทอด/ไก่คาราเกะ,55.00
803217,สกายลักค์,เกี๊ยวซ่า/เกี๊ยวฮังคู,59.00
803217,สกายลักค์,ยากิโซบะ,65.00
803217,สกายลักค์,ข้าวหน้าหมูซีอิ๊ว/ข้าวหน้าหมูกิมจิ,69.00
803217,สกายลักค์,ข้าวหน้าปลาอะเมซิ่ง,75.00
803217,สกายลักค์,ข้าวหน้าหมูตุ๋น,75.00
803217,สกายลักค์,ข้าวหน้าหมูซามูไร / ซาบะ,80.00
803217,สกายลักค์,สเต็กปลาซาบะ/ฟิชแอนด์ชิพ,80.00
803217,สกายลักค์,สเต็กหมูเคเคน/สเต็กหมูกระเทียม,80.00
803217,สกายลักค์,ข้าวแกงกะหรี่ปลาทอด,90.00
803217,สกายลักค์,ข้าวแกงกะหรี่หมู,100.00
803217,สกายลักค์,ไข่ดาว,12.00
803217,สกายลักค์,เพิ่มซอส,15.00
803217,สกายลักค์,ใส่กล่องกลับบ้านเพิ่ม,7.00
803217,สกายลักค์,เมนูพิเศษ,69.00
803217,สกายลักค์,เมนูพิเศษ,89.00
803217,สกายลักค์,เมนูพิเศษ,4.00
803217,สกายลักค์,เมนูพิเศษ,10.00
803217,สกายลักค์,Delivery,10.00
803218,ลูกชิ้นทิพย์,ลูกชิิ้นหมู ไม้เล็ก 10 ไม้,100.00
803218,ลูกชิ้นทิพย์,ลูกชิ้นหมู ไม้ใหญ่ 5 ไม้,100.00
803218,ลูกชิ้นทิพย์,ลูกชิ้นเอ็นหมู ไม้เล็ก 10 ไม้,100.00
803218,ลูกชิ้นทิพย์,ลูกชิ้นเอ็นหมู ไม้ใหญ่ 5 ไม้,100.00
803218,ลูกชิ้นทิพย์,ไส้กรอกหมูรมควันหนังกรอบ 10 ไม้,100.00
803218,ลูกชิ้นทิพย์,ลูกชิ้นหมูไม้เล็ก,6.00
803218,ลูกชิ้นทิพย์,ไส้กรอกหมูรมควันหนังกรอบ,6.00
803218,ลูกชิ้นทิพย์,ลูกชิ้นหมูไม้ใหญ่,12.00
803218,ลูกชิ้นทิพย์,ลูกชิ้นเอ็นหมูไม้ใหญ่,12.00
803218,ลูกชิ้นทิพย์,น้ำจิ้มสามรส,28.00
803219,The Glass Room,น้ำดื่ม,10.00
803219,The Glass Room,น้ำอัดลม,25.00
803219,The Glass Room,น้ำอัดลม,30.00
803219,The Glass Room,น้ำอัดลม,50.00
803219,The Glass Room,น้ำสมุนไพร,25.00
803219,The Glass Room,น้ำสมุนไพร,30.00
803219,The Glass Room,น้ำสมุนไพร(2),35.00
803219,The Glass Room,น้ำสมุนไพร(1),40.00
803219,The Glass Room,น้ำผลไม้สด,40.00
803219,The Glass Room,น้ำผลไม้สด(2),50.00
803219,The Glass Room,น้ำผลไม้สด(1),60.00
803219,The Glass Room,ชาเย็น,45.00
803219,The Glass Room,กาแฟ,30.00
803219,The Glass Room,เมนูกาแฟ,45.00
803219,The Glass Room,น้ำผลไม้ปั่น,50.00
803219,The Glass Room,น้ำผลไม้ปั่น,55.00
803219,The Glass Room,น้ำผลไม้ปั่น(1),60.00
803219,The Glass Room,น้ำผลไม้ปั่น(2),65.00
803219,The Glass Room,เมนูโซดา,40.00
803219,The Glass Room,น้ำแข็งเปล่า,5.00
803219,The Glass Room,แก้วเปล่า,3.00
803219,The Glass Room,เบียร์สิงห์สด,145.00
803219,The Glass Room,เบียร์อาซาฮี,160.00
803219,The Glass Room,ใส่กล่องกลับบ้านเพิ่ม,7.00
803219,The Glass Room,Delivery,10.00
803220,อาหารนานาชาติ,Dragon Boat,99.00
803220,อาหารนานาชาติ,Dragon Boat (1),89.00
803220,อาหารนานาชาติ,Dragon Boat (2),104.00
